Latitude (decimal degrees):	43.457
Longitude (decimal degrees):	5.468
Radiation database:	PVGIS-SARAH

Results for:	November
Slope of plane (deg.):	35
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		0.0		0.0		0.0
06:00		0.0		0.0		0.0
07:00		22.46		0.0		21.99
08:00		288.41		192.8		92.83
09:00		437.94		300.38		132.97
10:00		539.7		376.79		157.07
11:00		579.49		408.53		164.61
12:00		561.55		395.19		160.25
13:00		483.94		334.74		144.03
14:00		360.98		242.64		114.7
15:00		211.23		138.46		70.95
16:00		1.03		0.06		0.94
17:00		0.0		0.0		0.0
18:00		0.0		0.0		0.0
19:00		0.0		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Communities, 2001-2021
