Latitude (decimal degrees):	43.457
Longitude (decimal degrees):	5.468
Radiation database:	PVGIS-SARAH

Results for:	May
Slope of plane (deg.):	35
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		39.29		0.0		38.48
06:00		159.99		70.4		85.59
07:00		335.94		195.1		134.07
08:00		513.82		333.34		171.06
09:00		659.71		441.21		206.99
10:00		765.89		526.37		226.48
11:00		828.69		578.88		235.88
12:00		827.86		572.01		241.92
13:00		759.15		519.02		227.19
14:00		641.32		428.24		201.83
15:00		480.75		294.29		177.54
16:00		301.09		161.38		133.5
17:00		131.08		48.6		79.0
18:00		31.56		0.0		30.9
19:00		0.0		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Communities, 2001-2021
