Latitude (decimal degrees):	43.457
Longitude (decimal degrees):	5.471
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	38

year		month		H(i_opt)_m	
2005		Jan		125.52		10.6
2005		Feb		143.39		8.6
2005		Mar		182.43		11.5
2005		Apr		176.47		13.5
2005		May		212.23		17.1
2005		Jun		218.68		21.4
2005		Jul		226.49		22.3
2005		Aug		217.33		21.9
2005		Sep		159.55		20.7
2005		Oct		133.97		18.1
2005		Nov		113.82		14.0
2005		Dec		122.35		10.0
2006		Jan		111.53		10.8
2006		Feb		118.14		10.2
2006		Mar		162.98		11.7
2006		Apr		203.57		14.3
2006		May		206.61		17.2
2006		Jun		209.86		20.3
2006		Jul		222.43		25.5
2006		Aug		221.05		21.3
2006		Sep		167.48		20.9
2006		Oct		159.36		19.5
2006		Nov		108.88		16.4
2006		Dec		106.8		13.5
2007		Jan		125.11		12.0
2007		Feb		110.4		12.4
2007		Mar		169.7		12.6
2007		Apr		173.09		15.6
2007		May		188.44		17.4
2007		Jun		199.42		20.1
2007		Jul		234.18		21.3
2007		Aug		212.67		21.7
2007		Sep		203.13		20.0
2007		Oct		154.77		17.6
2007		Nov		139.37		13.2
2007		Dec		119.43		11.6
2008		Jan		104.49		12.0
2008		Feb		142.68		12.0
2008		Mar		168.5		11.5
2008		Apr		175.91		13.7
2008		May		168.92		17.2
2008		Jun		197.72		20.4
2008		Jul		227.37		22.0
2008		Aug		213.72		22.8
2008		Sep		160.44		20.3
2008		Oct		125.63		17.7
2008		Nov		101.3		13.6
2008		Dec		93.74		11.0
2009		Jan		109.28		10.3
2009		Feb		127.68		10.3
2009		Mar		174.97		12.0
2009		Apr		156.63		14.2
2009		May		203.17		17.6
2009		Jun		218.15		20.9
2009		Jul		233.53		22.6
2009		Aug		219.02		24.3
2009		Sep		181.04		22.0
2009		Oct		150.26		18.3
2009		Nov		115.43		15.0
2009		Dec		96.32		11.5
2010		Jan		101.26		9.0
2010		Feb		100.76		10.1
2010		Mar		155.11		11.0
2010		Apr		175.15		14.0
2010		May		178.97		15.9
2010		Jun		197.98		19.3
2010		Jul		236.0		23.5
2010		Aug		221.78		22.2
2010		Sep		194.12		19.8
2010		Oct		144.52		16.5
2010		Nov		109.27		13.0
2010		Dec		87.65		10.2
2011		Jan		106.7		10.5
2011		Feb		122.42		11.0
2011		Mar		152.9		12.2
2011		Apr		202.21		15.0
2011		May		223.37		17.9
2011		Jun		194.01		19.6
2011		Jul		211.1		21.0
2011		Aug		227.05		22.8
2011		Sep		187.99		22.0
2011		Oct		159.63		18.6
2011		Nov		103.36		16.4
2011		Dec		123.69		12.8
2012		Jan		127.21		11.1
2012		Feb		153.03		8.3
2012		Mar		187.77		13.0
2012		Apr		167.59		13.5
2012		May		202.52		16.5
2012		Jun		212.03		20.5
2012		Jul		226.56		21.9
2012		Aug		215.44		23.9
2012		Sep		169.17		20.4
2012		Oct		140.45		18.1
2012		Nov		98.09		14.7
2012		Dec		111.31		11.5
2013		Jan		118.92		10.3
2013		Feb		129.81		9.0
2013		Mar		142.57		11.6
2013		Apr		148.2		13.5
2013		May		189.0		15.2
2013		Jun		213.46		18.8
2013		Jul		228.29		23.6
2013		Aug		223.13		23.5
2013		Sep		185.54		20.4
2013		Oct		126.88		18.9
2013		Nov		97.56		13.5
2013		Dec		103.24		12.7
2014		Jan		88.56		11.7
2014		Feb		99.65		11.7
2014		Mar		186.63		12.8
2014		Apr		180.18		14.9
2014		May		208.88		16.5
2014		Jun		203.32		21.1
2014		Jul		209.01		21.9
2014		Aug		220.34		22.4
2014		Sep		174.67		22.0
2014		Oct		155.56		19.9
2014		Nov		81.71		16.6
2014		Dec		106.51		12.3
2015		Jan		121.68		11.3
2015		Feb		119.3		10.4
2015		Mar		147.15		12.5
2015		Apr		195.4		14.1
2015		May		216.75		17.1
2015		Jun		211.96		21.6
2015		Jul		236.25		24.6
2015		Aug		220.39		22.9
2015		Sep		180.58		20.6
2015		Oct		134.45		17.6
2015		Nov		141.35		15.1
2015		Dec		74.53		14.0
2016		Jan		89.74		11.9
2016		Feb		104.61		11.6
2016		Mar		143.63		12.0
2016		Apr		149.9		13.8
2016		May		179.54		16.0
2016		Jun		186.1		19.7
2016		Jul		207.78		22.7
2016		Aug		216.74		23.0
2016		Sep		170.72		22.3
2016		Oct		140.14		18.2
2016		Nov		99.14		14.6
2016		Dec		125.61		13.4

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)
T2m: 24 hour average of temperature (degree Celsius)

PVGIS (c) European Communities, 2001-2021
